Date,Fans
2015-08-23T07:00:00+0000,10810790
2015-08-24T07:00:00+0000,10812181
2015-08-25T07:00:00+0000,10813633
2015-08-26T07:00:00+0000,10818375
2015-08-27T07:00:00+0000,10821484
2015-08-28T07:00:00+0000,10823794
2015-08-29T07:00:00+0000,10828653
2015-08-30T07:00:00+0000,10829779
2015-08-31T07:00:00+0000,10830738
2015-09-01T07:00:00+0000,10831599
2015-09-02T07:00:00+0000,10832760
2015-09-03T07:00:00+0000,10833755
2015-09-04T07:00:00+0000,10834779
2015-09-05T07:00:00+0000,10835194
2015-09-06T07:00:00+0000,10835718
2015-09-07T07:00:00+0000,10836254
2015-09-08T07:00:00+0000,10837001
2015-09-09T07:00:00+0000,10837549
2015-09-10T07:00:00+0000,10838004
2015-09-11T07:00:00+0000,10838288
2015-09-12T07:00:00+0000,10839015
2015-09-13T07:00:00+0000,10839776
2015-09-14T07:00:00+0000,10840406
2015-09-15T07:00:00+0000,10841134
2015-09-16T07:00:00+0000,10842031
2015-09-17T07:00:00+0000,10842048
2015-09-18T07:00:00+0000,10842645
2015-09-19T07:00:00+0000,10843366
2015-09-20T07:00:00+0000,10843936
2015-09-21T07:00:00+0000,10845036
2015-09-22T07:00:00+0000,10845927
2015-09-23T07:00:00+0000,10843773
2015-09-24T07:00:00+0000,10844480
2015-09-25T07:00:00+0000,10844919
2015-09-26T07:00:00+0000,10845420
2015-09-27T07:00:00+0000,10845931
2015-09-28T07:00:00+0000,10846239
2015-09-29T07:00:00+0000,10847095
2015-09-30T07:00:00+0000,10847922
2015-10-01T07:00:00+0000,10848301
2015-10-02T07:00:00+0000,10849085
2015-10-03T07:00:00+0000,10849642
2015-10-04T07:00:00+0000,10850570
2015-10-05T07:00:00+0000,10852014
2015-10-06T07:00:00+0000,10853322
2015-10-07T07:00:00+0000,10853663
2015-10-08T07:00:00+0000,10853291
2015-10-09T07:00:00+0000,10851242
2015-10-10T07:00:00+0000,10852012
2015-10-11T07:00:00+0000,10851901
2015-10-12T07:00:00+0000,10857086
2015-10-13T07:00:00+0000,10857815
2015-10-14T07:00:00+0000,10858276
2015-10-15T07:00:00+0000,10858628
2015-10-16T07:00:00+0000,10858886
2015-10-17T07:00:00+0000,10859324
2015-10-18T07:00:00+0000,10860237
2015-10-19T07:00:00+0000,10860310
2015-10-20T07:00:00+0000,10861518
2015-10-21T07:00:00+0000,10861701
2015-10-22T07:00:00+0000,10862274
2015-10-23T07:00:00+0000,10862841
2015-10-24T07:00:00+0000,10863763
2015-10-25T07:00:00+0000,10864682
2015-10-26T07:00:00+0000,10865388
2015-10-27T07:00:00+0000,10866105
2015-10-28T07:00:00+0000,10866850
2015-10-29T07:00:00+0000,10867715
2015-10-30T07:00:00+0000,10867985
2015-10-31T07:00:00+0000,10868456
2015-11-01T07:00:00+0000,10869037
2015-11-02T08:00:00+0000,10869957
2015-11-03T08:00:00+0000,10870986
2015-11-04T08:00:00+0000,10871606
2015-11-05T08:00:00+0000,10871878
2015-11-06T08:00:00+0000,10872320
2015-11-07T08:00:00+0000,10872862
2015-11-08T08:00:00+0000,10873304
2015-11-09T08:00:00+0000,10873805
2015-11-10T08:00:00+0000,10874247
2015-11-11T08:00:00+0000,10874752
2015-11-12T08:00:00+0000,10875366
2015-11-13T08:00:00+0000,10876097
2015-11-14T08:00:00+0000,10876112
2015-11-15T08:00:00+0000,10876475
2015-11-16T08:00:00+0000,10876882
2015-11-17T08:00:00+0000,10878800
2015-11-18T08:00:00+0000,10879185
2015-11-19T08:00:00+0000,10879261
2015-11-20T08:00:00+0000,10879509
2015-11-21T08:00:00+0000,10879951
2015-11-22T08:00:00+0000,10872424
2015-11-23T08:00:00+0000,10881528
2015-11-24T08:00:00+0000,10884353
2015-11-25T08:00:00+0000,10885802
2015-11-26T08:00:00+0000,10886780
2015-11-27T08:00:00+0000,10887030
2015-11-28T08:00:00+0000,10887903
2015-11-29T08:00:00+0000,10889470
2015-11-30T08:00:00+0000,10890407
2015-12-01T08:00:00+0000,10890497
2015-12-02T08:00:00+0000,10891531
2015-12-03T08:00:00+0000,10892950
2015-12-04T08:00:00+0000,10894693
2015-12-05T08:00:00+0000,10895816
2015-12-06T08:00:00+0000,10896621
2015-12-07T08:00:00+0000,10898223
2015-12-08T08:00:00+0000,10900587
2015-12-09T08:00:00+0000,10901624
2015-12-10T08:00:00+0000,10902548
2015-12-11T08:00:00+0000,10903567
2015-12-12T08:00:00+0000,10904470
2015-12-13T08:00:00+0000,10905516
2015-12-14T08:00:00+0000,10906707
2015-12-15T08:00:00+0000,10907693
2015-12-16T08:00:00+0000,10908663
2015-12-17T08:00:00+0000,10909625
2015-12-18T08:00:00+0000,10577855
2015-12-19T08:00:00+0000,10884143
2015-12-20T08:00:00+0000,10912441
2015-12-21T08:00:00+0000,10913408
2015-12-22T08:00:00+0000,10914478
2015-12-23T08:00:00+0000,10915434
2015-12-24T08:00:00+0000,10916507
2015-12-25T08:00:00+0000,10917540
2015-12-26T08:00:00+0000,10918821
2015-12-27T08:00:00+0000,10920299
2015-12-28T08:00:00+0000,10921732
2015-12-29T08:00:00+0000,10924628
2015-12-30T08:00:00+0000,10927650
2015-12-31T08:00:00+0000,10930505
2016-01-01T08:00:00+0000,10932940
2016-01-02T08:00:00+0000,10934314
2016-01-03T08:00:00+0000,10936326
2016-01-04T08:00:00+0000,10937724
2016-01-05T08:00:00+0000,10939196
2016-01-06T08:00:00+0000,10940740
